epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3404.29,0.86711,0.60841,1.066,0.82455,0.75237,0.79685,0.61386,0.95106,0.7275,1.23144,0.000495125,0.000495125,0.000495125
63,3455.99,0.87255,0.6105,1.0712,0.81999,0.75546,0.80388,0.61152,0.95188,0.71372,1.22373,0.00048275,0.00048275,0.00048275
64,3507.34,0.8569,0.59782,1.05916,0.82874,0.75513,0.79651,0.61511,0.96563,0.71121,1.25146,0.000470375,0.000470375,0.000470375
65,3558.84,0.86226,0.59233,1.0639,0.82456,0.74518,0.7993,0.61325,0.97018,0.70741,1.25146,0.000458,0.000458,0.000458
66,3610.29,0.85984,0.58358,1.05644,0.81886,0.75327,0.80583,0.62001,0.94925,0.69935,1.22885,0.000445625,0.000445625,0.000445625
67,3661.62,0.84336,0.58557,1.05445,0.8324,0.74331,0.80686,0.61933,0.95466,0.71012,1.23916,0.00043325,0.00043325,0.00043325
68,3712.78,0.84448,0.58315,1.05746,0.83054,0.76506,0.8042,0.61996,0.95128,0.69837,1.24273,0.000420875,0.000420875,0.000420875
69,3764.1,0.84336,0.5805,1.0504,0.82571,0.7582,0.79645,0.61427,0.93535,0.71128,1.22652,0.0004085,0.0004085,0.0004085
70,3815.18,0.82893,0.56641,1.04386,0.83704,0.75495,0.80177,0.62117,0.9449,0.71552,1.23951,0.000396125,0.000396125,0.000396125
71,3866.48,0.82245,0.562,1.04718,0.8431,0.7546,0.80474,0.62133,0.94,0.69202,1.23507,0.00038375,0.00038375,0.00038375
72,3918.19,0.83017,0.56356,1.04014,0.84421,0.75078,0.80503,0.62513,0.92811,0.69512,1.22696,0.000371375,0.000371375,0.000371375
73,3969.66,0.80997,0.54413,1.03161,0.84652,0.749,0.8082,0.62961,0.92846,0.70011,1.22477,0.000359,0.000359,0.000359
74,4020.96,0.81228,0.54627,1.0396,0.83064,0.76566,0.80743,0.62871,0.92751,0.70645,1.22395,0.000346625,0.000346625,0.000346625
75,4072.27,0.81477,0.55078,1.03708,0.81174,0.77852,0.80906,0.62848,0.92912,0.7159,1.21979,0.00033425,0.00033425,0.00033425
76,4123.65,0.80759,0.54197,1.03463,0.85229,0.75809,0.80496,0.62686,0.92614,0.6923,1.23214,0.000321875,0.000321875,0.000321875
77,4174.94,0.7998,0.5378,1.0279,0.83424,0.76034,0.81012,0.63382,0.92319,0.68385,1.22935,0.0003095,0.0003095,0.0003095
78,4226.28,0.79572,0.53189,1.02621,0.85055,0.75198,0.81267,0.63264,0.91651,0.68206,1.21645,0.000297125,0.000297125,0.000297125
79,4277.99,0.79158,0.52145,1.02181,0.85543,0.75627,0.80943,0.63615,0.91353,0.67588,1.2183,0.00028475,0.00028475,0.00028475
80,4329.61,0.79499,0.52713,1.02669,0.82808,0.78428,0.81633,0.63314,0.91729,0.67474,1.22224,0.000272375,0.000272375,0.000272375
81,4380.61,0.78882,0.52516,1.0252,0.85186,0.75745,0.81422,0.63969,0.91816,0.6804,1.22766,0.00026,0.00026,0.00026
82,4431.96,0.77464,0.51257,1.01636,0.84138,0.76939,0.81206,0.63918,0.91627,0.67499,1.22334,0.000247625,0.000247625,0.000247625
83,4483.1,0.77987,0.5127,1.02169,0.83444,0.77053,0.81015,0.63444,0.91863,0.67088,1.23666,0.00023525,0.00023525,0.00023525
84,4534.65,0.76971,0.50362,1.01347,0.84087,0.77432,0.81178,0.63941,0.92741,0.67827,1.24364,0.000222875,0.000222875,0.000222875
85,4586.05,0.77227,0.50367,1.01293,0.85011,0.76305,0.80971,0.63773,0.91809,0.69096,1.23039,0.0002105,0.0002105,0.0002105
86,4637.67,0.77335,0.49861,1.01371,0.86486,0.75396,0.80776,0.64061,0.91217,0.6786,1.23293,0.000198125,0.000198125,0.000198125
87,4689.17,0.76652,0.49431,1.01292,0.86089,0.76115,0.80852,0.63928,0.9115,0.6745,1.22883,0.00018575,0.00018575,0.00018575
88,4740.48,0.75498,0.49444,1.00612,0.82758,0.78637,0.8101,0.64237,0.91051,0.67124,1.22758,0.000173375,0.000173375,0.000173375
89,4791.63,0.75368,0.48895,1.00795,0.85051,0.76552,0.80887,0.64301,0.91176,0.67119,1.23118,0.000161,0.000161,0.000161
90,4843.06,0.74979,0.48746,1.00547,0.83675,0.77661,0.81071,0.64279,0.9074,0.66867,1.23301,0.000148625,0.000148625,0.000148625
91,4907.69,0.74854,0.44125,1.0188,0.84513,0.76208,0.80486,0.63883,0.90445,0.66804,1.22588,0.00013625,0.00013625,0.00013625
92,4959.07,0.72356,0.41348,1.00217,0.84227,0.76583,0.80747,0.64066,0.90015,0.67528,1.22943,0.000123875,0.000123875,0.000123875
93,5010.57,0.72056,0.41558,1.00168,0.84143,0.76512,0.80629,0.64387,0.90122,0.66461,1.23272,0.0001115,0.0001115,0.0001115
94,5061.82,0.71014,0.40781,0.99412,0.83477,0.7757,0.81321,0.64846,0.89625,0.66735,1.2267,9.9125e-05,9.9125e-05,9.9125e-05
95,5113.13,0.70711,0.39924,0.99156,0.84387,0.77555,0.81263,0.65112,0.90023,0.66747,1.24118,8.675e-05,8.675e-05,8.675e-05
96,5165.34,0.7087,0.40087,0.9939,0.83478,0.78455,0.8123,0.64757,0.90406,0.67185,1.24505,7.4375e-05,7.4375e-05,7.4375e-05
97,5217.11,0.6942,0.39236,0.98654,0.81829,0.79672,0.81273,0.65235,0.89614,0.66047,1.23647,6.2e-05,6.2e-05,6.2e-05
98,5268.42,0.69799,0.39278,0.99166,0.81401,0.80373,0.81476,0.65258,0.89184,0.66289,1.23318,4.9625e-05,4.9625e-05,4.9625e-05
99,5319.89,0.69203,0.38764,0.98672,0.8227,0.79592,0.81574,0.65318,0.88952,0.66315,1.22991,3.725e-05,3.725e-05,3.725e-05
100,5371.42,0.68255,0.38348,0.98308,0.82461,0.79513,0.81616,0.65235,0.88982,0.66381,1.23223,2.4875e-05,2.4875e-05,2.4875e-05
